earth_mass,planet_mass,result,failure_time
1,37.31543624161074,stable,335.40000000000003
1,37.4496644295302,collision,68.87439
1,37.58389261744966,collision,266.416605
1,37.718120805369125,stable,335.40000000000003
1,37.85234899328859,stable,335.40000000000003
1,37.986577181208055,stable,335.40000000000003
1,38.12080536912752,stable,335.40000000000003
1,38.25503355704698,stable,335.40000000000003
1,38.38926174496645,stable,335.40000000000003
1,38.52348993288591,collision,99.620508
1,38.65771812080537,collision,304.640466
1,38.79194630872483,collision,41.611401
1,38.92617449664429,collision,10.318581
1,39.060402684563755,collision,10.167651000000001
1,39.194630872483216,collision,10.239762
1,39.328859060402685,collision,11.306334000000001
1,39.46308724832215,collision,25.210341000000003
1,39.597315436241615,collision,5.067894
1,39.73154362416108,collision,3.872193
1,39.86577181208054,collision,3.5485320000000002
1,40.0,collision,3.4512660000000004
